entity_type,entity_id,season,mu
driver,15,5,-0.5987874269485474
driver,16,5,-0.5025132894515991
driver,17,5,0.11417093873023987
driver,18,5,0.4148562550544739
driver,20,5,0.700406551361084
driver,22,5,-0.324770987033844
driver,24,5,-0.722407877445221
driver,30,5,-0.6645413637161255
driver,37,5,-0.13857167959213257
driver,39,5,-0.5928075909614563
driver,67,5,-0.08313943445682526
driver,153,5,-0.29889005422592163
driver,154,5,0.29019805788993835
driver,155,5,-0.046757422387599945
driver,807,5,0.2621908187866211
driver,808,5,0.02591155841946602
driver,811,5,-0.003947913646697998
driver,812,5,-0.862302839756012
driver,813,5,-0.7373782992362976
driver,814,5,-0.3757341802120209
driver,815,5,0.5232818126678467
driver,816,5,-0.8560591340065002
driver,817,5,0.8283200263977051
driver,818,5,-0.06535546481609344
driver,819,5,-0.23589898645877838
driver,820,5,-0.7127936482429504
driver,821,5,-0.02561066299676895
driver,822,5,0.4423060417175293
driver,823,5,-0.37546050548553467
driver,824,5,-0.4224236309528351
driver,825,5,0.18488702178001404
driver,826,5,0.24801790714263916
driver,827,5,-0.07079803943634033
driver,828,5,0.07236388325691223
driver,829,5,-0.2926182150840759
driver,830,5,0.7007335424423218
driver,831,5,0.19272129237651825
driver,832,5,0.6122500896453857
driver,833,5,0.01227109506726265
driver,834,5,0.14912757277488708
driver,835,5,-0.37741002440452576
driver,836,5,-0.21522581577301025
driver,837,5,-0.7464733123779297
driver,838,5,0.0721292793750763
driver,839,5,0.3544539213180542
driver,840,5,-0.25474387407302856
driver,841,5,0.026167400181293488
driver,842,5,0.4643995761871338
driver,843,5,-0.3221561908721924
driver,844,5,0.31983596086502075
driver,845,5,-0.561611533164978
driver,846,5,0.5985107421875
driver,847,5,-0.24853038787841797
driver,848,5,0.376924604177475
driver,849,5,-0.2952478528022766
driver,850,5,-0.4513167142868042
driver,851,5,0.0321279913187027
driver,852,5,-0.0517616905272007
driver,853,5,-0.1361282467842102
driver,854,5,0.07590695470571518
driver,855,5,-0.1611233800649643
driver,856,5,-0.3169165551662445
driver,857,5,0.473527729511261
driver,858,5,-0.2158687710762024
driver,859,5,0.5494168996810913
driver,860,5,0.39338576793670654
driver,861,5,0.22156527638435364
driver,862,5,0.020918812602758408
constructor,1,5,-0.19770008325576782
constructor,3,5,0.23018668591976166
constructor,4,5,-0.14310504496097565
constructor,5,5,-0.09724310040473938
constructor,6,5,0.861257791519165
constructor,9,5,1.1380404233932495
constructor,10,5,0.2878689169883728
constructor,15,5,-0.3470320999622345
constructor,131,5,1.9739567041397095
constructor,164,5,-0.8612236976623535
constructor,166,5,-0.5479423999786377
constructor,205,5,-0.490100622177124
constructor,206,5,-0.4813745617866516
constructor,207,5,-1.1742684841156006
constructor,208,5,0.2216300517320633
constructor,209,5,-0.8519411683082581
constructor,210,5,0.47899067401885986
driver,1,6,0.7907673716545105
driver,2,6,-0.34524497389793396
driver,3,6,0.6483718752861023
driver,4,6,0.7230273485183716
driver,5,6,-0.4044743478298187
driver,8,6,0.2793847322463989
driver,9,6,-0.16487807035446167
driver,10,6,-0.3473396897315979
driver,13,6,0.49947983026504517
driver,15,6,-0.6199475526809692
driver,16,6,-0.5159013867378235
driver,17,6,0.06047487258911133
driver,18,6,0.2991083860397339
driver,20,6,0.8617345094680786
driver,22,6,-0.3504311442375183
driver,24,6,-0.7473735213279724
driver,30,6,-0.6423571109771729
driver,37,6,-0.09423653036355972
driver,39,6,-0.5719640254974365
driver,67,6,-0.06894345581531525
driver,153,6,-0.2666962742805481
driver,154,6,0.29084667563438416
driver,155,6,-0.04935842752456665
driver,807,6,0.4422842264175415
driver,808,6,0.0072080157697200775
